2026-04-19 20:43:55 | DEBUG    | controllers.main_controller    | Products loaded: 418 items
2026-04-19 20:43:56 | DEBUG    | controllers.main_controller    | Products loaded: 418 items
2026-04-19 20:43:56 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=192 200, caisse=192 200
2026-04-19 20:43:56 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=192 200, caisse=192 200
2026-04-19 20:44:03 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:44:04 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:44:15 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:44:17 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:44:27 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:44:30 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:44:43 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:44:44 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:44:59 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:45:01 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:45:08 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:45:10 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:45:19 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:45:20 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:45:25 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:45:27 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:45:34 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:45:35 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:45:47 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:45:50 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:46:41 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:46:43 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:48:06 | DEBUG    | controllers.main_controller    | [DEBUG] record_sales called with 11 rows
2026-04-19 20:48:06 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=241 200, caisse=241 200
2026-04-19 20:48:06 | INFO     | core.database.product_repository | Found 0 promo products
2026-04-19 20:48:06 | INFO     | core.database.product_repository | Found 30 products near DLV within 30 days
2026-04-19 20:48:06 | INFO     | core.database.product_repository | Found 2 products with passed DLV to remove
2026-04-19 20:48:06 | DEBUG    | controllers.main_controller    | Header data refreshed: 37 transactions, 0 promo, 30 near DLV, 2 to remove
2026-04-19 20:48:06 | DEBUG    | controllers.main_controller    | Product loader thread started
2026-04-19 20:48:06 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:48:06 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=241 200, caisse=241 200
2026-04-19 20:48:06 | INFO     | core.database.product_repository | Found 0 promo products
2026-04-19 20:48:06 | INFO     | core.database.product_repository | Found 30 products near DLV within 30 days
2026-04-19 20:48:06 | INFO     | core.database.product_repository | Found 2 products with passed DLV to remove
2026-04-19 20:48:06 | DEBUG    | controllers.main_controller    | Header data refreshed: 37 transactions, 0 promo, 30 near DLV, 2 to remove
